epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,364.916,0.77983,0.41282,1.24293,0.98393,1,0.995,0.82363,0.81394,0.42929,1.06955,0.00143768,0.00143768,0.00143768
144,367.436,0.84279,0.4545,1.22891,0.98651,1,0.995,0.88196,0.69053,0.40039,0.9872,0.00143372,0.00143372,0.00143372
145,369.97,0.84125,0.47697,1.24568,0.98839,1,0.995,0.82736,0.75699,0.3735,1.01628,0.00142976,0.00142976,0.00142976
146,372.557,0.77833,0.44551,1.20413,0.99069,1,0.995,0.82231,0.73153,0.34414,1.02151,0.0014258,0.0014258,0.0014258
147,375.111,0.81984,0.44726,1.23289,0.99112,1,0.995,0.8341,0.73085,0.31888,1.01161,0.00142184,0.00142184,0.00142184
148,377.76,0.83099,0.44998,1.24467,0.99142,1,0.995,0.8125,0.74988,0.28673,1.03751,0.00141788,0.00141788,0.00141788
149,380.312,0.77107,0.43209,1.20106,0.99155,1,0.995,0.8341,0.72341,0.35711,1.0239,0.00141392,0.00141392,0.00141392
150,382.865,0.79309,0.44932,1.23652,0.99181,1,0.995,0.86375,0.67615,0.34241,1.01709,0.00140996,0.00140996,0.00140996
151,385.412,0.87256,0.45259,1.27855,0.99165,1,0.995,0.81502,0.88941,0.38483,1.09202,0.001406,0.001406,0.001406
152,387.947,0.85549,0.43266,1.24867,0.99205,1,0.995,0.84149,0.71814,0.33117,0.99912,0.00140204,0.00140204,0.00140204
153,390.532,0.77025,0.43609,1.21782,0.99167,1,0.995,0.83421,0.68401,0.30172,1.00733,0.00139808,0.00139808,0.00139808
154,393.074,0.80197,0.4489,1.23934,0.99121,1,0.995,0.84562,0.72622,0.35507,1.00168,0.00139412,0.00139412,0.00139412
155,395.612,0.7633,0.42344,1.16779,0.97285,1,0.995,0.77458,0.95393,0.48198,1.09487,0.00139016,0.00139016,0.00139016
156,398.143,0.8187,0.44464,1.2253,0.97459,1,0.995,0.80579,0.82465,0.37991,1.0469,0.0013862,0.0013862,0.0013862
157,400.78,0.84838,0.46657,1.23351,0.99149,1,0.995,0.82141,0.78787,0.33299,1.03674,0.00138224,0.00138224,0.00138224
158,403.381,0.82691,0.43272,1.19978,0.99164,1,0.995,0.85886,0.73174,0.32906,1.00497,0.00137828,0.00137828,0.00137828
159,405.95,0.82307,0.48534,1.23266,0.99137,1,0.995,0.88863,0.58435,0.31567,0.92936,0.00137432,0.00137432,0.00137432
160,408.469,0.83976,0.45153,1.22903,0.99115,1,0.995,0.87449,0.57242,0.28763,0.91541,0.00137036,0.00137036,0.00137036
161,410.99,0.78465,0.43917,1.20973,0.99073,1,0.995,0.87076,0.54417,0.27816,0.91465,0.0013664,0.0013664,0.0013664
162,413.59,0.75919,0.4319,1.21225,0.99119,1,0.995,0.88881,0.55581,0.26887,0.9178,0.00136244,0.00136244,0.00136244
163,416.287,0.81203,0.43312,1.23299,0.99141,1,0.995,0.87999,0.56969,0.26327,0.93235,0.00135848,0.00135848,0.00135848
164,418.823,0.80942,0.45196,1.26443,0.99189,1,0.995,0.88063,0.59097,0.2781,0.92265,0.00135452,0.00135452,0.00135452
165,421.35,0.74848,0.44159,1.18636,0.99171,1,0.995,0.88082,0.58345,0.25811,0.91219,0.00135056,0.00135056,0.00135056
166,423.902,0.78157,0.43672,1.17872,0.9918,1,0.995,0.85,0.65054,0.27157,0.94617,0.0013466,0.0013466,0.0013466
167,426.658,0.77648,0.42674,1.22264,0.99174,1,0.995,0.87929,0.61236,0.27381,0.92959,0.00134264,0.00134264,0.00134264
168,429.19,0.77252,0.41553,1.2192,0.99198,1,0.995,0.8703,0.66918,0.27254,0.97773,0.00133868,0.00133868,0.00133868
169,431.723,0.79527,0.42834,1.24033,0.9917,1,0.995,0.84364,0.64613,0.32607,0.9935,0.00133472,0.00133472,0.00133472
170,434.258,0.75777,0.40653,1.19491,0.99107,1,0.995,0.82817,0.68598,0.33865,1.02055,0.00133076,0.00133076,0.00133076
171,436.793,0.77462,0.41499,1.16843,0.99077,1,0.995,0.83585,0.68653,0.32637,1.02095,0.0013268,0.0013268,0.0013268
172,439.329,0.78962,0.43844,1.20121,0.99078,1,0.995,0.85332,0.62021,0.31718,0.98951,0.00132284,0.00132284,0.00132284
173,441.88,0.78577,0.40835,1.16692,0.99122,1,0.995,0.84575,0.73853,0.31383,1.02826,0.00131888,0.00131888,0.00131888
174,444.416,0.82489,0.44109,1.24232,0.99123,1,0.995,0.76445,0.9101,0.33364,1.13055,0.00131492,0.00131492,0.00131492
175,447.018,0.75132,0.43421,1.18334,0.99091,1,0.995,0.73581,1.01208,0.43265,1.17853,0.00131096,0.00131096,0.00131096
176,449.278,0.83741,0.45878,1.21955,0.99131,1,0.995,0.82213,0.71546,0.3329,0.99522,0.001307,0.001307,0.001307
177,451.384,0.73838,0.4107,1.20382,0.99119,1,0.995,0.86704,0.62248,0.28995,0.94519,0.00130304,0.00130304,0.00130304
178,453.407,0.76315,0.42393,1.19904,0.99118,1,0.995,0.8955,0.57547,0.25747,0.91647,0.00129908,0.00129908,0.00129908
179,455.421,0.78288,0.45211,1.21617,0.99124,1,0.995,0.8806,0.58305,0.27601,0.93338,0.00129512,0.00129512,0.00129512
180,457.527,0.8503,0.45351,1.18548,0.97522,1,0.995,0.88341,0.54991,0.37142,0.91127,0.00129116,0.00129116,0.00129116
181,459.537,0.76144,0.41544,1.20654,0.9705,1,0.995,0.87414,0.67389,0.42737,0.95598,0.0012872,0.0012872,0.0012872
182,461.558,0.82982,0.43748,1.20991,0.99014,1,0.995,0.84536,0.63809,0.31315,0.9408,0.00128324,0.00128324,0.00128324
183,463.565,0.81089,0.45843,1.19073,0.99154,1,0.995,0.90047,0.51592,0.32308,0.89019,0.00127928,0.00127928,0.00127928
184,465.579,0.7624,0.43123,1.19825,0.99166,1,0.995,0.87457,0.51154,0.30539,0.88962,0.00127532,0.00127532,0.00127532
185,467.586,0.80979,0.42068,1.21484,0.99155,1,0.995,0.85883,0.72271,0.30314,0.992,0.00127136,0.00127136,0.00127136
186,469.595,0.76653,0.41953,1.18244,0.99133,1,0.995,0.81521,0.74321,0.32759,1.01899,0.0012674,0.0012674,0.0012674
187,471.606,0.73346,0.41306,1.17346,0.99057,1,0.995,0.82262,0.64707,0.27305,0.95531,0.00126344,0.00126344,0.00126344
188,473.623,0.78571,0.43862,1.17335,0.98922,1,0.995,0.83766,0.65479,0.29048,0.99169,0.00125948,0.00125948,0.00125948
189,475.734,0.74412,0.39767,1.18229,0.99039,1,0.995,0.81246,0.79697,0.34167,1.08624,0.00125552,0.00125552,0.00125552
190,477.746,0.7815,0.42283,1.18286,0.99133,1,0.995,0.86658,0.62367,0.29556,0.94252,0.00125156,0.00125156,0.00125156
